c,sigma,sigma_prime,kappa,phat_one,m,identity_relerr,residual
0.2,0.028791210573711028,0.152518926976488,0.958304681350065,-6.283185307179587,9.935619543195623,3.1785218286904316e-10,8.992806499463768e-15
0.201,0.028943866237766958,0.15279190113513513,0.9600198286421702,-6.283185307179587,9.943642698635157,3.8942222713801096e-10,9.43689570931383e-15
0.202,0.029096793440291507,0.15306206707911033,0.9617173313838361,-6.283185307179585,9.951924217703448,4.427849119182086e-10,7.993605777301127e-15
0.203,0.029249989556816916,0.1533297866772822,0.9633994632657519,-6.283185307179587,9.96044639566534,4.796265247277664e-10,1.0047518372857667e-14
0.204,0.02940345230850449,0.1535953899425164,0.9650682978214596,-6.283185307179587,9.969193901585221,5.016445985644736e-10,8.326672684688674e-15
0.205,0.029557179732058528,0.15385917846888209,0.9667257300239676,-6.283185307179585,9.97815340596734,5.105544021649588e-10,9.103828801926284e-15
0.206,0.0297111701528504,0.1541214284970797,0.9683734955463739,-6.283185307179585,9.987313275868482,5.080620045499854e-10,9.103828801926284e-15
0.207,0.02986542216096654,0.1543823936168599,0.9700131877708743,-6.283185307179585,9.996663348642233,5.259771454903157e-10,8.659739592076221e-15
0.208,0.03001993458978411,0.15464230724737144,0.9716462731936732,-6.283185307179585,10.006194682117654,4.4114603736364114e-10,7.93809462606987e-15
0.209,0.030174706496891763,0.15490138467498246,0.9732741046820602,-6.283185307179585,10.01589944587506,4.422571828118627e-10,7.105427357601002e-15
0.21,0.03032973714695586,0.1551598251132816,0.9748979338228402,-6.283185307179585,10.025770688357941,4.169822716179213e-10,8.992806499463768e-15
0.211,0.030485025996490243,0.1554178132428621,0.9765189211195273,-6.283185307179585,10.035802318865557,4.894890410170338e-10,4.019354293838262e-14
0.212,0.030640572680094142,0.15567552089006031,0.9781381458727633,-6.283185307179587,10.045988883236388,3.3615642864885493e-10,2.8987229283572447e-14
0.213,0.030796376998236404,0.15593310808694402,0.9797566139507469,-6.283185307179585,10.05632559917557,3.2254336266151657e-10,1.0436096431476471e-14
