xi,phi_prime,phat
-200.0,1.6719914225186362e-09,1.646963490249183e-09
-199.90234375,1.6955710645060887e-09,1.5331735672650863e-09
-199.8046875,1.6363233171101437e-09,1.3476925869520531e-09
-199.70703125,1.4955619001865695e-09,1.1008266727973245e-09
-199.609375,1.2785893671636067e-09,8.056423850116855e-10
-199.51171875,9.945937493793721e-10,4.77284504307602e-10
-199.4140625,6.562188391956706e-10,1.3220661509113625e-10
-199.31640625,2.7902931020693613e-10,-2.1264655071353403e-10
-199.21875,-1.1923524379945907e-10,-5.406649213147533e-10
-199.12109375,-5.194041837093392e-10,-8.36366874311068e-10
-199.0234375,-9.018532689416333e-10,-1.0861236056548355e-09
-198.92578125,-1.2474569357501842e-09,-1.2787802754604243e-09
-198.828125,-1.5385177710771905e-09,-1.4061462094978243e-09
-198.73046875,-1.7596753745470266e-09,-1.4633328084964436e-09
-198.6328125,-1.8987074843414644e-09,-1.448926029989789e-09
-198.53515625,-1.9471856135344678e-09,-1.3649880584552473e-09
-198.4375,-1.900973522086945e-09,-1.2168915842007012e-09
-198.33984375,-1.7604928669332117e-09,-1.0129976358071807e-09
-198.2421875,-1.5308144386604324e-09,-7.641957164040991e-10
-198.14453125,-1.2214723409743348e-09,-4.833307899375643e-10
-198.046875,-8.461065170153924e-10,-1.8454712807903465e-10
-197.94921875,-4.2186266356922917e-10,1.1741802420599697e-10
-197.8515625,3.1368391298651104e-11,4.0795573147983693e-10
-197.75390625,4.918818828989356e-10,6.732868087278909e-10
-197.65625,9.372127031083257e-10,9.011097587825849e-10
-197.55859375,1.345185942748448e-09,1.0811652601143872e-09
-197.4609375,1.695042036460911e-09,1.2056913546347087e-09
-197.36328125,1.9684566052118477e-09,1.2697497443377194e-09
-197.265625,2.1505041173871504e-09,1.27140968793696e-09
-197.16796875,2.2304876803049284e-09,1.2117836115938293e-09
-197.0703125,2.2024716943673677e-09,1.0949152977646115e-09
-196.97265625,2.0657355173598048e-09,9.275291113359306e-10
-196.875,1.8248628503048846e-09,7.186547439461699e-10
-196.77734375,1.4896522818755811e-09,4.791481919935705e-10
